search_term,datetime,lat,lng
Indian curry with naan,2025-11-19 12:15:24,28.847521,-92.417281
Best cheeseburger and fries,2025-11-06 18:32:04,30.342602,-95.127885
Lunch special near me,2025-11-11 12:05:07,32.482869,-89.921319
Pizza delivery,2025-11-09 20:38:39,30.982236,-93.208197
top Indian curry with naan places,2025-11-17 19:40:43,30.630046,-90.49019
Spicy tuna roll sushi,2025-11-14 17:34:04,33.029891,-90.875881
Burger King delivery,2025-11-01 13:50:54,28.016335,-88.940251
Mexican food open now,2025-11-02 18:13:38,31.259929,-96.536979
Chocolate chip cookies delivery,2025-11-27 14:13:36,33.407481,-97.66835
top Spicy tuna roll sushi places,2025-11-17 19:07:05,30.983944,-96.113076
Ribeye steak dinner,2025-11-11 19:20:41,29.351239,-87.358245
Cheap eats delivery,2025-11-07 19:07:38,32.485121,-97.584102
Ramen noodles takeout,2025-11-25 18:49:50,33.585526,-95.772834
Vegetarian options delivery,2025-11-09 19:03:00,32.19519,-97.900742
where to find 24h Lunch special near me,2025-11-19 13:55:04,32.969145,-90.478759
late night mexican Burger King delivery,2025-11-08 11:32:48,32.339237,-88.665243
Taco Bell near me,2025-11-06 19:19:15,31.066749,-93.636662
Pad Thai noodles,2025-11-14 11:27:07,32.164801,-93.729906
Lunch special near me with mexican flavor,2025-11-09 13:21:49,31.320876,-91.314644
BBQ pulled pork sandwich,2025-11-12 11:13:31,29.986872,-97.747942
Steakhouse happy hour,2025-11-15 19:35:10,31.14153,-88.751357
Mexican food open now deals near me,2025-11-04 12:47:35,33.483981,-95.932029
Lunch special near me restaurants near me,2025-11-01 12:50:35,28.804868,-91.802319
recommended Cheap eats delivery places,2025-11-10 18:54:19,26.758419,-96.223843
fresh Mexican food open now fast food style,2025-11-20 18:32:40,29.805847,-90.526569
Taco Tuesday deals,2025-11-08 19:07:11,30.348275,-92.42774
24h Best cheeseburger and fries healthy style,2025-11-01 11:47:36,30.50974,-96.793744
best Pad Thai noodles thai style,2025-11-08 19:19:33,32.880479,-94.120614
Spicy tuna roll sushi pickup in my area,2025-11-18 20:00:27,27.14777,-95.275086
Restaurant with outdoor seating,2025-11-04 19:51:30,26.541306,-96.48512
Healthy breakfast burrito,2025-11-21 12:00:19,28.163777,-92.909068
famous chinese Cheap eats delivery,2025-11-02 20:39:13,29.35122,-94.27546
Burger King delivery specials in my area,2025-11-23 18:14:02,32.656096,-90.697089
Sunday brunch reservations,2025-11-16 11:00:19,26.963428,-90.270921
Vegan comfort food,2025-11-01 19:37:16,33.056073,-97.108507
where to find fresh Pad Thai noodles,2025-11-04 19:40:02,28.420653,-93.818227
Italian sub sandwich,2025-11-01 12:59:36,33.551828,-97.940986
Doughnuts and coffee,2025-11-28 10:14:27,33.626815,-93.078278
Best fried chicken in town,2025-11-21 21:05:07,30.40398,-93.616338
quick Vegan comfort food vegan style,2025-11-15 13:30:16,30.310574,-94.382092
Burger King delivery with healthy flavor,2025-11-24 19:36:13,31.791552,-87.355157
